Timestamp(ms),Current(uA),D0-D7
726,1010.977,10000000
727,1017.020,10000000
728,1017.066,10000000
729,1010.517,10000000
730,1020.573,10000000
731,1018.305,10000000
732,1014.312,10000000
733,1031.380,10000000
734,1021.046,10000000
735,1013.426,10000000
736,1020.084,10000000
737,1017.926,10000000
738,1012.225,10000000
739,1017.247,10000000
740,1017.505,10000000
741,1009.997,10000000
742,1013.817,10000000
743,1010.629,10000000
744,1019.721,10000000
745,1032.486,10000000
746,1015.892,10000000
747,1021.678,10000000
748,1019.097,10000000
749,1010.829,10000000
750,1020.909,10000000
751,1017.070,10000000
752,1011.536,10000000
753,1017.690,10000000
754,1015.334,10000000
755,1015.648,10000000
756,1019.689,10000000
757,1035.803,10000000
758,1017.224,10000000
759,1020.013,10000000
760,1016.207,10000000
761,1011.491,10000000
762,1017.516,10000000
763,1015.415,10000000
764,1017.472,10000000
765,1017.815,10000000
766,1013.936,10000000
767,1019.333,10000000
768,1016.400,10000000
769,1038.995,10000000
770,1031.366,10000000
771,1021.210,10000000
772,1013.753,10000000
773,1019.485,10000000
774,1014.308,10000000
775,1014.520,10000000
776,1017.771,10000000
777,1011.681,10000000
778,1006.331,10000000
779,1017.088,10000000
780,1010.915,10000000
781,1020.602,10000000
782,1030.125,10000000
783,1015.049,10000000
784,1018.836,10000000
785,1016.707,10000000
786,1016.925,10000000
787,1020.013,10000000
788,1012.622,10000000
789,1016.650,10000000
790,1017.917,10000000
791,1013.668,10000000
792,1017.461,10000000
793,1016.162,10000000
794,1028.815,10000000
795,1024.247,10000000
796,1016.557,10000000
797,1019.726,10000000
798,1015.379,10000000
799,1011.517,10000000
800,1018.514,10000000
801,1018.055,10000000
802,1013.361,10000000
803,1019.333,10000000
804,1013.247,10000000
805,1017.931,10000000
806,1032.315,10000000
807,1026.418,10000000
808,1021.209,10000000
809,1011.639,10000000
810,1020.135,10000000
811,1015.719,10000000
812,1016.890,10000000
813,1015.825,10000000
814,1010.608,10000000
815,1019.228,10000000
816,1015.444,10000000
817,1011.593,10000000
818,1043.778,10000000
819,1022.506,10000000
820,1012.268,10000000
821,1018.697,10000000
822,1011.267,10000000
823,1011.077,10000000
824,1015.086,10000000
825,1011.912,10000000
826,1017.579,10000000
827,1015.076,10000000
828,1015.135,10000000
829,1015.745,10000000
830,1020.953,10000000
831,1030.328,10000000
832,1017.008,10000000
833,1021.309,10000000
834,1012.420,10000000
835,1016.426,10000000
836,1018.604,10000000
837,1009.636,10000000
838,1018.660,10000000
839,1014.903,10000000
840,1008.615,10000000
841,1016.608,10000000
842,1012.792,10000000
843,1027.404,10000000
844,1020.176,10000000
845,1015.620,10000000
846,1017.718,10000000
847,1014.444,10000000
848,1012.102,10000000
849,1020.326,10000000
850,1017.354,10000000
851,1014.097,10000000
852,1019.067,10000000
853,1013.690,10000000
854,1019.908,10000000
855,1037.572,10000000
856,1021.192,10000000
857,1020.311,10000000
858,1013.545,10000000
859,1007.371,10000000
860,1017.815,10000000
861,1011.691,10000000
862,1012.474,10000000
863,1017.860,10000000
864,1012.527,10000000
865,1017.420,10000000
866,1015.472,10000000
867,1033.234,10000000
868,1029.698,10000000
869,1019.909,10000000
870,1013.715,10000000
871,1020.097,10000000
872,1017.332,10000000
873,1018.098,10000000
874,1021.918,10000000
875,1014.664,10000000
876,1017.280,10000000
877,1017.322,10000000
878,1011.107,10000000
879,1038.328,10000000
880,1023.780,10000000
881,1012.822,10000000
882,1015.691,10000000
883,1016.594,10000000
884,1013.356,10000000
885,1017.177,10000000
886,1010.226,10000000
887,1014.792,10000000
888,1011.749,10000000
889,1014.400,10000000
890,1019.209,10000000
891,1010.347,10000000
892,1034.284,10000000
893,1019.266,10000000
894,1010.786,10000000
895,1020.891,10000000
896,1015.486,10000000
897,1018.432,10000000
898,1013.519,10000000
899,1007.750,10000000
900,1016.748,10000000
901,1014.696,10000000
902,1007.480,10000000
903,1014.977,10000000
904,1035.300,10000000
905,1015.347,10000000
906,1020.168,10000000
907,1014.395,10000000
908,1018.843,10000000
909,1016.892,10000000
910,1007.253,10000000
911,1018.426,10000000
