Timestamp(ms),Current(uA),D0-D7
540,3181.471,00000000
541,3108.698,00000000
542,3092.168,00000000
543,3105.540,00000000
544,3061.939,00000000
545,3064.082,00000000
546,3176.993,00000000
547,3091.093,00000000
548,3075.530,00000000
549,3089.704,00000000
550,3049.055,00000000
551,3059.073,00000000
552,3173.405,00000000
553,3074.997,00000000
554,3060.633,00000000
555,3095.189,00000000
556,3044.216,00000000
557,3050.321,00000000
558,3146.802,00000000
559,3086.242,00000000
560,3075.590,00000000
561,3075.691,00000000
562,3086.308,00000000
563,3065.776,00000000
564,3125.053,00000000
565,3094.615,00000000
566,3046.223,00000000
567,3079.697,00000000
568,3080.359,00000000
569,3148.610,00000000
570,3103.267,00000000
571,3090.894,00000000
572,3049.664,00000000
573,3054.778,00000000
574,3071.465,00000000
575,3163.664,00000000
576,3099.955,00000000
577,3083.062,00000000
578,3055.945,00000000
579,3073.973,00000000
580,3085.287,00000000
581,3164.615,00000000
582,3101.282,00000000
583,3085.490,00000000
584,3083.023,00000000
585,3050.942,00000000
586,3063.263,00000000
587,3179.219,00000000
588,3080.813,00000000
589,3068.962,00000000
590,3078.592,00000000
591,3067.568,00000000
592,3057.089,00000000
593,3154.335,00000000
594,3071.317,00000000
595,3063.256,00000000
596,3073.587,00000000
597,3072.279,00000000
598,3055.220,00000000
599,3106.548,00000000
600,3068.420,00000000
601,3040.988,00000000
602,3027.173,00000000
603,3051.927,00000000
604,3151.356,00000000
605,3100.320,00000000
606,3085.924,00000000
607,3071.704,00000000
608,3049.084,00000000
609,3061.865,00000000
610,3173.622,00000000
611,3078.032,00000000
612,3064.495,00000000
613,3068.760,00000000
614,3073.091,00000000
615,3074.189,00000000
616,3150.488,00000000
617,3099.013,00000000
618,3055.092,00000000
619,3061.189,00000000
620,3086.029,00000000
621,3169.337,00000000
622,3100.909,00000000
623,3083.502,00000000
624,3061.710,00000000
625,3044.874,00000000
626,3054.546,00000000
627,3198.455,00000000
628,3085.122,00000000
629,3072.705,00000000
630,3078.240,00000000
631,3076.404,00000000
632,3045.743,00000000
633,3131.053,00000000
634,3101.271,00000000
635,3049.715,00000000
636,3053.104,00000000
637,3064.820,00000000
638,3157.877,00000000
639,3115.180,00000000
640,3105.854,00000000
641,3090.055,00000000
642,3048.244,00000000
643,3056.499,00000000
644,3167.968,00000000
645,3074.194,00000000
646,3065.538,00000000
647,3069.160,00000000
648,3081.291,00000000
649,3056.628,00000000
650,3119.228,00000000
651,3103.296,00000000
652,3065.575,00000000
653,3058.839,00000000
654,3070.409,00000000
655,3156.631,00000000
656,3090.273,00000000
657,3080.250,00000000
658,3088.332,00000000
659,3045.541,00000000
660,3069.221,00000000
661,3172.389,00000000
662,3076.513,00000000
663,3065.300,00000000
664,3091.567,00000000
665,3042.885,00000000
666,3053.917,00000000
667,3152.871,00000000
668,3069.153,00000000
669,3056.379,00000000
670,3069.584,00000000
671,3063.278,00000000
672,3041.808,00000000
673,3129.747,00000000
674,3099.575,00000000
675,3049.508,00000000
676,3079.169,00000000
677,3087.647,00000000
678,3111.492,00000000
679,3112.630,00000000
680,3111.228,00000000
681,3053.186,00000000
682,3055.221,00000000
683,3066.244,00000000
684,3158.537,00000000
685,3098.547,00000000
686,3080.841,00000000
687,3051.249,00000000
688,3066.697,00000000
689,3069.965,00000000
690,3155.874,00000000
691,3091.744,00000000
692,3074.214,00000000
693,3076.764,00000000
694,3043.026,00000000
695,3056.614,00000000
696,3170.853,00000000
697,3084.793,00000000
698,3069.726,00000000
699,3081.821,00000000
700,3077.077,00000000
701,3066.492,00000000
702,3168.042,00000000
703,3072.342,00000000
704,3059.040,00000000
705,3071.193,00000000
706,3038.062,00000000
707,3050.538,00000000
