Timestamp(ms),Current(uA),D0-D7
5655,1148.822,00000000
5656,1128.035,00000000
5657,2366.156,00000000
5658,3331.904,00000000
5659,2218.262,00000000
5660,1351.115,00000000
5661,1029.384,00000000
5662,913.413,00000000
5663,1336.207,00000000
5664,1311.233,00000000
5665,1027.535,00000000
5666,908.794,00000000
5667,866.461,00000000
5668,852.776,00000000
5669,844.416,00000000
5670,844.829,00000000
5671,843.809,00000000
5672,839.899,00000000
5673,843.263,00000000
5674,839.886,00000000
5675,839.817,00000000
5676,838.079,00000000
5677,854.089,00000000
5678,846.354,00000000
5679,841.374,00000000
5680,840.619,00000000
5681,840.435,00000000
5682,840.583,00000000
5683,1332.288,00000000
5684,1292.576,00000000
5685,1009.470,00000000
5686,1226.288,00000000
5687,2056.296,00000000
5688,2967.033,00000000
5689,1679.516,00000000
5690,1148.894,00000000
5691,954.784,00000000
5692,883.641,00000000
5693,857.858,00000000
5694,849.090,00000000
5695,842.829,00000000
5696,842.959,00000000
5697,839.886,00000000
5698,845.248,00000000
5699,843.068,00000000
5700,842.147,00000000
5701,863.592,00000000
5702,850.364,00000000
5703,1361.428,00000000
5704,1290.987,00000000
5705,1004.873,00000000
5706,903.477,00000000
5707,864.388,00000000
5708,850.360,00000000
5709,842.897,00000000
5710,844.727,00000000
5711,839.322,00000000
5712,840.307,00000000
5713,866.067,00000000
5714,851.871,00000000
5715,845.732,00000000
5716,842.539,00000000
5717,839.465,00000000
5718,1193.394,00000000
5719,1723.591,00000000
5720,2947.295,00000000
5721,1856.209,00000000
5722,1217.565,00000000
5723,1463.003,00000000
5724,1349.298,00000000
5725,1048.316,00000000
5726,923.407,00000000
5727,874.618,00000000
5728,853.953,00000000
5729,844.746,00000000
5730,841.996,00000000
5731,843.341,00000000
5732,842.082,00000000
5733,840.150,00000000
5734,840.377,00000000
5735,837.528,00000000
5736,842.684,00000000
5737,843.084,00000000
5738,858.268,00000000
5739,846.102,00000000
5740,845.996,00000000
5741,843.969,00000000
5742,842.175,00000000
5743,1337.338,00000000
5744,1282.746,00000000
5745,1005.137,00000000
5746,897.998,00000000
5747,862.204,00000000
5748,847.234,00000000
5749,842.894,00000000
5750,859.022,00000000
5751,847.186,00000000
5752,841.751,00000000
5753,843.844,00000000
5754,841.990,00000000
5755,1192.199,00000000
5756,1821.465,00000000
5757,2940.780,00000000
5758,2735.966,00000000
5759,1540.429,00000000
5760,1100.793,00000000
5761,939.855,00000000
5762,900.940,00000000
5763,1327.945,00000000
5764,1297.510,00000000
5765,1011.313,00000000
5766,905.933,00000000
5767,863.890,00000000
5768,852.023,00000000
5769,843.033,00000000
5770,842.243,00000000
5771,842.812,00000000
5772,840.210,00000000
5773,841.070,00000000
5774,867.657,00000000
5775,851.417,00000000
5776,845.802,00000000
5777,844.472,00000000
5778,838.178,00000000
5779,839.877,00000000
5780,838.987,00000000
5781,841.488,00000000
5782,841.655,00000000
5783,1327.417,00000000
5784,1285.343,00000000
5785,1006.325,00000000
5786,1307.441,00000000
5787,1221.462,00000000
5788,2873.898,00000000
5789,3145.589,00000000
5790,1707.986,00000000
5791,1163.002,00000000
5792,954.946,00000000
5793,882.235,00000000
5794,856.192,00000000
5795,850.445,00000000
5796,845.111,00000000
5797,841.661,00000000
5798,841.522,00000000
5799,856.146,00000000
5800,847.462,00000000
5801,846.085,00000000
5802,845.131,00000000
5803,1347.787,00000000
5804,1282.082,00000000
5805,1007.253,00000000
5806,898.439,00000000
5807,860.758,00000000
5808,852.516,00000000
5809,844.560,00000000
5810,843.277,00000000
5811,862.781,00000000
5812,847.741,00000000
5813,845.654,00000000
5814,843.289,00000000
5815,841.933,00000000
5816,845.172,00000000
5817,1170.234,00000000
5818,1930.348,00000000
5819,3113.255,00000000
5820,2490.074,00000000
5821,1449.119,00000000
5822,1068.476,00000000
5823,1413.537,00000000
5824,1329.587,00000000
5825,1021.687,00000000
5826,911.613,00000000
5827,867.047,00000000
