t_start_ms,t_end_ms,duration_ms,peak_ua,mean_ua,energy_total_uj,energy_marginal_uj,type
7638.0,7648.0,11,9695.019,6210.232454545455,204.937671,177.169623,ble
7658.0,7668.0,11,8338.289,5798.879,191.36300699999998,163.59495900000002,ble
7672.0,7688.0,17,8370.237,4351.6417647058815,221.93373,179.019474,ble
7698.0,7709.0,12,8744.563,5759.042416666666,207.32552699999997,177.03311100000002,ble
7718.0,7728.0,11,8359.613,5784.253363636363,190.88036099999997,163.112313,ble
7738.0,7749.0,12,8683.571,5756.768749999999,207.243675,176.95125900000002,ble
7763.0,7765.0,3,1338.162,1210.4483333333333,10.894035,3.320931,inference
7779.0,7786.0,8,4122.493,2185.305,52.44731999999999,32.25237599999999,inference
7803.0,7805.0,3,1379.23,1216.6363333333331,10.949727,3.3766230000000004,inference
7814.0,7819.0,6,3230.573,1876.7201666666667,33.78096300000001,18.634755,inference
7823.0,7825.0,3,1347.426,1213.112,10.918008000000002,3.3449039999999997,inference
7843.0,7850.0,8,3432.306,1954.7092499999999,46.913022,26.718077999999995,inference
7863.0,7865.0,3,1378.899,1217.54,10.95786,3.384756,inference
7875.0,7880.0,6,3080.681,1880.1623333333334,33.842922,18.696714,inference
7883.0,7885.0,3,1363.633,1220.69,10.986210000000002,3.413106000000001,inference
7903.0,7911.0,9,3415.803,1716.2429999999997,46.338561,23.619249,inference
7923.0,7924.0,2,1388.004,1312.7154999999998,7.876292999999999,2.827556999999999,inference
7934.0,7936.0,3,1395.673,1180.306,10.622754,3.0496499999999997,inference
7943.0,7951.0,9,2770.782,1524.9796666666666,41.174451000000005,18.455139,inference
7963.0,7965.0,3,1368.857,1222.056,10.998504,3.4254000000000007,inference
7978.0,7985.0,8,2964.789,1798.558125,43.165395000000004,22.970450999999997,inference
8003.0,8005.0,3,1381.248,1228.639,11.057751,3.484647,inference
8014.0,8019.0,6,3076.928,1998.6708333333336,35.976075,20.829867,inference
8023.0,8025.0,3,1384.496,1226.179,11.035611000000001,3.4625070000000004,inference
8043.0,8045.0,3,1343.558,1216.4126666666666,10.947714,3.3746099999999997,inference
8050.0,8055.0,6,3343.701,1904.8403333333335,34.28712600000001,19.140918,inference
8063.0,8065.0,3,1362.08,1228.0213333333334,11.052192,3.479088,inference
8083.0,8088.0,6,3116.532,1924.4371666666668,34.639869000000004,19.493661,inference
8103.0,8105.0,3,1351.36,1210.8039999999999,10.897236,3.3241319999999996,inference
8120.0,8125.0,6,3065.783,2034.5763333333334,36.622374,21.476166000000003,inference
8143.0,8145.0,3,1388.312,1220.5146666666667,10.984632,3.4115279999999997,inference
8154.0,8160.0,7,3352.651,1938.366428571429,40.705695000000006,23.035118999999998,inference
8163.0,8165.0,3,1374.798,1222.0216666666665,10.998194999999999,3.4250910000000006,inference
8183.0,8192.0,10,2715.052,1416.2367,42.487100999999996,17.243420999999998,inference
8203.0,8205.0,3,1397.278,1221.1273333333331,10.990146,3.4170420000000004,inference
8219.0,8225.0,7,2993.071,1900.8265714285715,39.917358,22.246782,inference
